order_id,payment_method,installments
O000191,PayPal,1
O000192,Tarjeta de débito,1
O000193,Transferencia,1
O000194,Tarjeta de débito,1
O000195,PayPal,1
O000196,PayPal,1
O000197,PayPal,1
O000198,PayPal,1
O000199,Tarjeta de crédito,4
O000200,PayPal,1
O000201,Transferencia,1
O000202,Tarjeta de crédito,10
O000203,Tarjeta de débito,1
O000204,Tarjeta de débito,1
O000205,Tarjeta de crédito,5
O000206,Tarjeta de débito,1
O000207,PayPal,1
O000208,PayPal,1
O000209,PayPal,1
O000210,Tarjeta de débito,1
O000211,Transferencia,1
O000212,PayPal,1
O000213,PayPal,1
O000214,PayPal,1
O000215,Tarjeta de débito,1
O000216,Tarjeta de débito,1
O000217,Transferencia,1
O000218,Tarjeta de débito,1
O000219,PayPal,1
O000220,Tarjeta de débito,1
O000221,Transferencia,1
O000222,Tarjeta de crédito,8
O000223,Tarjeta de débito,1
O000224,PayPal,1
O000225,Tarjeta de débito,1
O000226,Tarjeta de crédito,11
O000227,Tarjeta de crédito,1
O000228,Tarjeta de débito,1
O000229,Tarjeta de débito,1
O000230,Tarjeta de débito,1
O000231,Tarjeta de débito,1
O000232,Tarjeta de débito,1
O000233,Tarjeta de crédito,3
O000234,Tarjeta de débito,1
O000235,Tarjeta de crédito,3
O000236,Transferencia,1
O000237,Transferencia,1
O000238,PayPal,1
O000239,Transferencia,1
O000240,Transferencia,1
O000241,PayPal,1
O000242,PayPal,1
O000243,PayPal,1
O000244,Tarjeta de crédito,11
O000245,Tarjeta de débito,1
O000246,Tarjeta de crédito,6
O000247,Tarjeta de débito,1
O000248,Transferencia,1
O000249,PayPal,1
O000250,PayPal,1
O000251,PayPal,1
O000252,PayPal,1
O000253,Tarjeta de débito,1
O000254,Tarjeta de débito,1
O000255,PayPal,1
O000256,Tarjeta de débito,1
O000257,Tarjeta de crédito,10
O000258,PayPal,1
O000259,Tarjeta de débito,1
O000260,Tarjeta de crédito,2
O000261,Transferencia,1
O000262,PayPal,1
O000263,Tarjeta de débito,1
O000264,Tarjeta de crédito,5
O000265,Transferencia,1
O000266,PayPal,1
O000267,Transferencia,1
O000268,Tarjeta de crédito,1
O000269,Tarjeta de débito,1
O000270,Tarjeta de crédito,8
O000271,Tarjeta de débito,1
O000272,Tarjeta de crédito,7
O000273,Tarjeta de crédito,6
O000274,Transferencia,1
O000275,PayPal,1
O000276,PayPal,1
O000277,Tarjeta de crédito,4
O000278,Transferencia,1
O000279,PayPal,1
O000280,Tarjeta de crédito,9
O000281,Tarjeta de débito,1
O000282,PayPal,1
O000283,Tarjeta de débito,1
O000284,Transferencia,1
O000285,PayPal,1
O000286,Transferencia,1
O000287,Tarjeta de crédito,6
O000288,Transferencia,1
O000289,Tarjeta de crédito,11
O000290,Transferencia,1
O000291,Transferencia,1
O000292,Transferencia,1
O000293,Tarjeta de crédito,6
O000294,Tarjeta de débito,1
O000295,Transferencia,1
O000296,PayPal,1
O000297,PayPal,1
O000298,PayPal,1
O000299,Tarjeta de crédito,9
O000300,Tarjeta de débito,1
O000301,Tarjeta de débito,1
O000302,Transferencia,1
O000303,Tarjeta de crédito,5
O000304,Tarjeta de crédito,11
O000305,PayPal,1
O000306,Transferencia,1
O000307,Tarjeta de débito,1
O000308,Tarjeta de crédito,9
O000309,PayPal,1
O000310,Tarjeta de débito,1
O000311,Tarjeta de débito,1
O000312,Tarjeta de débito,1
O000313,Tarjeta de débito,1
O000314,Tarjeta de débito,1
O000315,Transferencia,1
O000316,Transferencia,1
O000317,Tarjeta de débito,1
O000318,PayPal,1
O000319,Tarjeta de crédito,5
O000320,PayPal,1
O000321,Tarjeta de débito,1
O000322,Transferencia,1
O000323,PayPal,1
O000324,Tarjeta de crédito,12
O000325,PayPal,1
O000326,Transferencia,1
O000327,Tarjeta de crédito,5
O000328,Transferencia,1
O000329,Tarjeta de débito,1
O000330,Transferencia,1
O000331,Tarjeta de crédito,11
O000332,PayPal,1
O000333,Transferencia,1
O000334,Tarjeta de crédito,9
O000335,Tarjeta de crédito,7
O000336,PayPal,1
O000337,Tarjeta de crédito,6
O000338,Tarjeta de crédito,10
O000339,PayPal,1
O000340,Transferencia,1
O000341,Transferencia,1
O000342,Tarjeta de débito,1
O000343,Tarjeta de crédito,6
O000344,Transferencia,1
O000345,PayPal,1
O000346,PayPal,1
O000347,Transferencia,1
O000348,Tarjeta de débito,1
O000349,PayPal,1
O000350,Transferencia,1
O000351,Tarjeta de débito,1
O000352,PayPal,1
O000353,Transferencia,1
O000354,PayPal,1
O000355,Transferencia,1
O000356,Transferencia,1
O000357,Tarjeta de débito,1
O000358,Transferencia,1
O000359,Tarjeta de crédito,4
O000360,Tarjeta de crédito,10
O000361,PayPal,1
O000362,Tarjeta de débito,1
O000363,PayPal,1
O000364,Tarjeta de débito,1
O000365,PayPal,1
O000366,PayPal,1
O000367,Transferencia,1
O000368,Tarjeta de crédito,11
O000369,Tarjeta de crédito,9
O000370,Tarjeta de débito,1
O000371,Tarjeta de débito,1
O000372,Tarjeta de crédito,6
O000373,Tarjeta de crédito,2
O000374,Transferencia,1
O000375,PayPal,1
O000376,Transferencia,1
O000377,Tarjeta de débito,1
O000378,Tarjeta de crédito,2
O000379,Tarjeta de débito,1
O000380,PayPal,1
O000381,Tarjeta de débito,1
O000382,Tarjeta de crédito,9
O000383,Tarjeta de débito,1
O000384,PayPal,1
O000385,Tarjeta de crédito,1
O000386,Transferencia,1
O000387,PayPal,1
O000388,Transferencia,1
O000389,Tarjeta de crédito,3
O000390,PayPal,1
O000391,PayPal,1
O000392,Tarjeta de crédito,6
O000393,PayPal,1
O000394,PayPal,1
O000395,PayPal,1
O000396,Transferencia,1
O000397,Transferencia,1
O000398,Tarjeta de crédito,1
O000399,Transferencia,1
O000400,Transferencia,1
O000401,PayPal,1
O000402,Tarjeta de débito,1
O000403,Transferencia,1
O000404,Tarjeta de crédito,3
O000405,PayPal,1
O000406,Tarjeta de débito,1
O000407,Tarjeta de débito,1
O000408,Tarjeta de débito,1
O000409,PayPal,1
O000410,PayPal,1
O000411,Transferencia,1
O000412,PayPal,1
O000413,PayPal,1
O000414,Transferencia,1
O000415,Tarjeta de débito,1
O000416,Transferencia,1
O000417,Transferencia,1
O000418,Tarjeta de crédito,10
O000419,Tarjeta de crédito,8
O000420,Tarjeta de débito,1
O000421,Tarjeta de crédito,12
O000422,PayPal,1
O000423,Transferencia,1
O000424,PayPal,1
O000425,PayPal,1
O000426,Tarjeta de débito,1
O000427,PayPal,1
O000428,Transferencia,1
O000429,PayPal,1
O000430,Transferencia,1
O000431,Tarjeta de débito,1
O000432,Tarjeta de débito,1
O000433,Tarjeta de débito,1
O000434,Tarjeta de débito,1
O000435,Transferencia,1
O000436,Tarjeta de débito,1
O000437,Tarjeta de débito,1
O000438,Tarjeta de débito,1
O000439,Tarjeta de crédito,2
O000440,Tarjeta de crédito,3
O000441,Tarjeta de débito,1
O000442,Tarjeta de crédito,6
O000443,Transferencia,1
O000444,PayPal,1
O000445,Tarjeta de débito,1
O000446,Tarjeta de crédito,12
O000447,Tarjeta de débito,1
O000448,Transferencia,1
O000449,Tarjeta de crédito,3
O000450,Tarjeta de débito,1
O000451,Transferencia,1
O000452,PayPal,1
O000453,Tarjeta de crédito,5
O000454,Tarjeta de crédito,8
O000455,PayPal,1
O000456,PayPal,1
O000457,Tarjeta de débito,1
O000458,PayPal,1
O000459,Tarjeta de débito,1
O000460,Tarjeta de crédito,9
O000461,Tarjeta de crédito,1
O000462,Tarjeta de débito,1
O000463,Transferencia,1
O000464,Tarjeta de débito,1
O000465,Transferencia,1
O000466,Transferencia,1
O000467,Transferencia,1
O000468,PayPal,1
O000469,Tarjeta de débito,1
O000470,Transferencia,1
O000471,Tarjeta de crédito,2
O000472,Tarjeta de débito,1
O000473,Transferencia,1
O000474,Tarjeta de débito,1
O000475,Transferencia,1
O000476,Tarjeta de crédito,1
O000477,Transferencia,1
O000478,Tarjeta de débito,1
O000479,Tarjeta de crédito,11
O000480,Tarjeta de crédito,2
O000481,Tarjeta de crédito,4
O000482,Transferencia,1
O000483,Tarjeta de crédito,3
O000484,PayPal,1
O000485,Tarjeta de débito,1
O000486,Tarjeta de débito,1
O000487,Transferencia,1
O000488,Tarjeta de débito,1
O000489,Transferencia,1
O000490,Tarjeta de débito,1
O000491,Tarjeta de débito,1
O000492,Tarjeta de crédito,8
O000493,Tarjeta de débito,1
O000494,Transferencia,1
O000495,Tarjeta de débito,1
O000496,PayPal,1
O000497,Tarjeta de crédito,12
O000498,Tarjeta de débito,1
O000499,Transferencia,1
O000500,PayPal,1
O000501,Tarjeta de crédito,12
O000502,Transferencia,1
O000503,Tarjeta de débito,1
O000504,Transferencia,1
O000505,Tarjeta de débito,1
O000506,PayPal,1
O000507,Transferencia,1
O000508,Tarjeta de débito,1
O000509,Tarjeta de crédito,2
O000510,Transferencia,1
O000511,Tarjeta de crédito,12
O000512,Transferencia,1
O000513,Transferencia,1
O000514,Transferencia,1
O000515,PayPal,1
O000516,Transferencia,1
O000517,Tarjeta de débito,1
O000518,PayPal,1
O000519,PayPal,1
O000520,Tarjeta de débito,1
O000521,Tarjeta de crédito,2
O000522,Tarjeta de crédito,11
O000523,Tarjeta de débito,1
O000524,Transferencia,1
O000525,Tarjeta de crédito,4
O000526,Transferencia,1
O000527,PayPal,1
O000528,PayPal,1
O000529,Tarjeta de débito,1
O000530,Tarjeta de débito,1
O000531,Tarjeta de débito,1
O000532,PayPal,1
O000533,Transferencia,1
O000534,Transferencia,1
O000535,Transferencia,1
O000536,Transferencia,1
O000537,Transferencia,1
O000538,PayPal,1
O000539,Tarjeta de crédito,5
O000540,Tarjeta de débito,1
O000541,Tarjeta de crédito,5
O000542,Tarjeta de crédito,3
O000543,Transferencia,1
O000544,Tarjeta de crédito,6
O000545,PayPal,1
O000546,Tarjeta de crédito,12
O000547,Tarjeta de débito,1
O000548,PayPal,1
O000549,PayPal,1
O000550,PayPal,1
O000551,Transferencia,1
O000552,Tarjeta de débito,1
O000553,Transferencia,1
O000554,Tarjeta de débito,1
O000555,Tarjeta de débito,1
O000556,PayPal,1
O000557,PayPal,1
O000558,Tarjeta de débito,1
O000559,Transferencia,1
O000560,Tarjeta de crédito,7
O000561,PayPal,1
O000562,Transferencia,1
O000563,Transferencia,1
O000564,Tarjeta de crédito,6
O000565,Tarjeta de débito,1
O000566,Tarjeta de crédito,10
O000567,Tarjeta de crédito,5
O000568,Tarjeta de débito,1
O000569,Tarjeta de débito,1
O000570,PayPal,1
O000571,PayPal,1
O000572,Transferencia,1
O000573,Transferencia,1
O000574,Tarjeta de crédito,1
O000575,Tarjeta de débito,1
O000576,Tarjeta de débito,1
O000577,Tarjeta de débito,1
O000578,Transferencia,1
O000579,Transferencia,1
O000580,Tarjeta de débito,1
O000581,Tarjeta de crédito,9
O000582,Tarjeta de débito,1
O000583,PayPal,1
O000584,PayPal,1
O000585,PayPal,1
O000586,Tarjeta de débito,1
O000587,Tarjeta de crédito,3
O000588,Transferencia,1
O000589,Transferencia,1
O000590,Tarjeta de débito,1
O000591,Tarjeta de débito,1
O000592,Tarjeta de crédito,6
O000593,Tarjeta de débito,1
O000594,Transferencia,1
O000595,Transferencia,1
O000596,Tarjeta de débito,1
O000597,PayPal,1
O000598,Transferencia,1
O000599,Tarjeta de crédito,5
O000600,Transferencia,1
O000601,Tarjeta de débito,1
O000602,PayPal,1
O000603,Tarjeta de crédito,4
O000604,PayPal,1
O000605,Tarjeta de débito,1
O000606,PayPal,1
O000607,PayPal,1
O000608,Tarjeta de crédito,3
O000609,Tarjeta de débito,1
O000610,PayPal,1
O000611,Transferencia,1
O000612,PayPal,1
O000613,Tarjeta de crédito,7
O000614,Transferencia,1
O000615,Tarjeta de crédito,12
O000616,Tarjeta de crédito,9
O000617,PayPal,1
O000618,Tarjeta de débito,1
O000619,Tarjeta de crédito,11
O000620,Transferencia,1
O000621,Tarjeta de débito,1
O000622,Tarjeta de débito,1
O000623,PayPal,1
O000624,Tarjeta de débito,1
O000625,PayPal,1
O000626,Tarjeta de crédito,12
O000627,Tarjeta de débito,1
O000628,Transferencia,1
O000629,PayPal,1
O000630,Tarjeta de débito,1
O000631,Tarjeta de crédito,2
O000632,Transferencia,1
O000633,Tarjeta de débito,1
O000634,Tarjeta de crédito,10
O000635,Tarjeta de débito,1
O000636,Transferencia,1
O000637,Tarjeta de débito,1
O000638,Transferencia,1
O000639,Tarjeta de débito,1
O000640,PayPal,1
O000641,PayPal,1
O000642,Tarjeta de débito,1
O000643,Transferencia,1
O000644,Tarjeta de crédito,9
O000645,PayPal,1
O000646,Transferencia,1
O000647,Transferencia,1
O000648,Tarjeta de crédito,1
O000649,Transferencia,1
O000650,Transferencia,1
O000651,Tarjeta de débito,1
O000652,Tarjeta de débito,1
O000653,Transferencia,1
O000654,Transferencia,1
O000655,Tarjeta de crédito,7
O000656,Tarjeta de crédito,5
O000657,Tarjeta de débito,1
O000658,Transferencia,1
O000659,PayPal,1
O000660,PayPal,1
O000661,PayPal,1
O000662,Tarjeta de crédito,8
O000663,Tarjeta de débito,1
O000664,Tarjeta de crédito,4
O000665,Tarjeta de crédito,4
O000666,PayPal,1
O000667,Transferencia,1
O000668,Transferencia,1
O000669,PayPal,1
O000670,Tarjeta de crédito,3
O000671,Transferencia,1
O000672,PayPal,1
O000673,Transferencia,1
O000674,Tarjeta de débito,1
O000675,Tarjeta de débito,1
O000676,Tarjeta de débito,1
O000677,Tarjeta de crédito,4
O000678,PayPal,1
O000679,Transferencia,1
O000680,Tarjeta de débito,1
O000681,PayPal,1
O000682,Tarjeta de débito,1
O000683,Tarjeta de crédito,10
O000684,Tarjeta de débito,1
O000685,Transferencia,1
O000686,PayPal,1
O000687,PayPal,1
O000688,Tarjeta de crédito,4
O000689,Tarjeta de débito,1
O000690,Transferencia,1
O000691,PayPal,1
O000692,Transferencia,1
O000693,PayPal,1
O000694,PayPal,1
O000695,Tarjeta de débito,1
O000696,PayPal,1
O000697,Transferencia,1
O000698,Tarjeta de crédito,3
O000699,Tarjeta de crédito,4
O000700,PayPal,1
O000701,PayPal,1
O000702,Tarjeta de crédito,4
O000703,Tarjeta de crédito,8
O000704,Transferencia,1
O000705,Transferencia,1
O000706,Tarjeta de débito,1
O000707,Tarjeta de crédito,10
O000708,Transferencia,1
O000709,PayPal,1
O000710,Tarjeta de débito,1
O000711,PayPal,1
O000712,PayPal,1
O000713,Tarjeta de débito,1
O000714,Tarjeta de crédito,8
O000715,Tarjeta de crédito,4
O000716,Tarjeta de crédito,4
O000717,PayPal,1
O000718,PayPal,1
O000719,Transferencia,1
O000720,Tarjeta de crédito,1
O000721,Tarjeta de crédito,9
O000722,Tarjeta de débito,1
O000723,Tarjeta de crédito,1
O000724,Tarjeta de débito,1
O000725,PayPal,1
O000726,Transferencia,1
O000727,PayPal,1
O000728,Transferencia,1
O000729,PayPal,1
O000730,Tarjeta de débito,1
O000731,Tarjeta de débito,1
O000732,Transferencia,1
O000733,PayPal,1
O000734,Tarjeta de crédito,8
O000735,Tarjeta de crédito,4
O000736,Tarjeta de crédito,12
O000737,Tarjeta de débito,1
O000738,PayPal,1
O000739,Tarjeta de crédito,7
O000740,Transferencia,1
O000741,Transferencia,1
O000742,Tarjeta de crédito,1
O000743,Tarjeta de crédito,2
O000744,Tarjeta de crédito,9
O000745,Transferencia,1
O000746,Tarjeta de débito,1
O000747,Tarjeta de débito,1
O000748,PayPal,1
O000749,Tarjeta de crédito,7
O000750,Transferencia,1
O000751,Transferencia,1
O000752,Tarjeta de débito,1
O000753,Tarjeta de crédito,8
O000754,Transferencia,1
O000755,Transferencia,1
O000756,PayPal,1
O000757,PayPal,1
O000758,Tarjeta de crédito,3
O000759,PayPal,1
O000760,Transferencia,1
O000761,Tarjeta de débito,1
O000762,Tarjeta de crédito,9
O000763,Tarjeta de débito,1
O000764,Tarjeta de débito,1
O000765,Tarjeta de crédito,11
O000766,PayPal,1
O000767,Transferencia,1
O000768,Transferencia,1
O000769,Transferencia,1
O000770,Tarjeta de débito,1
O000771,Tarjeta de crédito,2
O000772,PayPal,1
O000773,Transferencia,1
O000774,PayPal,1
O000775,Transferencia,1
O000776,PayPal,1
O000777,Transferencia,1
O000778,PayPal,1
O000779,Tarjeta de crédito,4
O000780,Transferencia,1
O000781,Tarjeta de crédito,4
O000782,PayPal,1
O000783,Tarjeta de débito,1
O000784,Transferencia,1
O000785,Tarjeta de crédito,3
O000786,Tarjeta de débito,1
O000787,Tarjeta de crédito,6
O000788,Transferencia,1
O000789,Tarjeta de débito,1
O000790,Tarjeta de débito,1
O000791,Tarjeta de débito,1
O000792,PayPal,1
O000793,Tarjeta de crédito,3
O000794,Tarjeta de débito,1
O000795,Transferencia,1
O000796,Tarjeta de crédito,8
O000797,Tarjeta de crédito,4
O000798,PayPal,1
O000799,Tarjeta de débito,1
O000800,Transferencia,1
O000801,PayPal,1
O000802,Transferencia,1
O000803,PayPal,1
O000804,PayPal,1
O000805,Tarjeta de débito,1
O000806,Transferencia,1
O000807,Tarjeta de crédito,11
O000808,Transferencia,1
O000809,Tarjeta de débito,1
O000810,Transferencia,1
O000811,Tarjeta de débito,1
O000812,PayPal,1
O000813,Tarjeta de crédito,4
O000814,Transferencia,1
O000815,PayPal,1
O000816,Tarjeta de crédito,8
O000817,Transferencia,1
O000818,Tarjeta de débito,1
O000819,Transferencia,1
O000820,Tarjeta de débito,1
O000821,PayPal,1
O000822,Tarjeta de crédito,1
O000823,Tarjeta de débito,1
O000824,Transferencia,1
O000825,Tarjeta de crédito,9
O000826,Tarjeta de crédito,6
O000827,Tarjeta de crédito,11
O000828,PayPal,1
O000829,PayPal,1
O000830,PayPal,1
O000831,PayPal,1
O000832,PayPal,1
O000833,Tarjeta de crédito,4
O000834,Tarjeta de débito,1
O000835,Tarjeta de débito,1
O000836,Tarjeta de crédito,7
O000837,Tarjeta de crédito,11
O000838,Tarjeta de crédito,1
O000839,Transferencia,1
O000840,Tarjeta de débito,1
O000841,Tarjeta de crédito,5
O000842,PayPal,1
O000843,Tarjeta de crédito,5
O000844,Transferencia,1
O000845,PayPal,1
O000846,Transferencia,1
O000847,Transferencia,1
O000848,PayPal,1
O000849,Tarjeta de crédito,2
O000850,Tarjeta de crédito,5
O000851,PayPal,1
O000852,PayPal,1
O000853,Tarjeta de crédito,2
O000854,Tarjeta de débito,1
O000855,Transferencia,1
O000856,PayPal,1
O000857,Transferencia,1
O000858,Transferencia,1
O000859,Tarjeta de crédito,3
O000860,Transferencia,1
O000861,Tarjeta de crédito,11
O000862,Tarjeta de crédito,7
O000863,PayPal,1
O000864,Tarjeta de débito,1
O000865,Tarjeta de crédito,7
O000866,Transferencia,1
O000867,Tarjeta de crédito,1
O000868,Transferencia,1
O000869,PayPal,1
O000870,Tarjeta de crédito,9
O000871,Transferencia,1
O000872,Transferencia,1
O000873,Transferencia,1
O000874,Tarjeta de crédito,2
O000875,Tarjeta de crédito,2
O000876,Transferencia,1
O000877,Transferencia,1
O000878,Transferencia,1
O000879,Tarjeta de crédito,11
O000880,PayPal,1
O000881,Tarjeta de crédito,1
O000882,Transferencia,1
O000883,Tarjeta de débito,1
O000884,Tarjeta de débito,1
O000885,Transferencia,1
O000886,Tarjeta de crédito,8
O000887,Transferencia,1
O000888,Tarjeta de crédito,9
O000889,Tarjeta de débito,1
O000890,PayPal,1
O000891,PayPal,1
O000892,Tarjeta de débito,1
O000893,PayPal,1
O000894,Tarjeta de débito,1
O000895,PayPal,1
O000896,Tarjeta de débito,1
O000897,Transferencia,1
O000898,Transferencia,1
O000899,Tarjeta de crédito,1
O000900,Tarjeta de débito,1
O000901,PayPal,1
O000902,PayPal,1
O000903,PayPal,1
O000904,Tarjeta de débito,1
O000905,Tarjeta de crédito,7
O000906,Tarjeta de crédito,1
O000907,Tarjeta de débito,1
O000908,Tarjeta de débito,1
O000909,Tarjeta de débito,1
O000910,Tarjeta de débito,1
O000911,Tarjeta de crédito,7
O000912,Tarjeta de débito,1
O000913,Tarjeta de débito,1
O000914,PayPal,1
O000915,PayPal,1
O000916,PayPal,1
O000917,Tarjeta de crédito,9
O000918,Transferencia,1
O000919,Tarjeta de débito,1
O000920,PayPal,1
O000921,Transferencia,1
O000922,PayPal,1
O000923,Tarjeta de débito,1
O000924,PayPal,1
O000925,PayPal,1
O000926,PayPal,1
O000927,Tarjeta de débito,1
O000928,Tarjeta de débito,1
O000929,Tarjeta de crédito,4
O000930,Tarjeta de crédito,4
O000931,Tarjeta de débito,1
O000932,PayPal,1
O000933,Tarjeta de crédito,1
O000934,Tarjeta de crédito,10
O000935,Transferencia,1
O000936,Tarjeta de crédito,7
O000937,Tarjeta de crédito,11
O000938,Tarjeta de crédito,12
O000939,Tarjeta de crédito,5
O000940,Transferencia,1
O000941,Tarjeta de débito,1
O000942,Transferencia,1
O000943,PayPal,1
O000944,Tarjeta de débito,1
O000945,Tarjeta de crédito,10
O000946,Tarjeta de débito,1
O000947,Tarjeta de débito,1
O000948,PayPal,1
O000949,Tarjeta de crédito,9
O000950,Tarjeta de crédito,5
O000951,Transferencia,1
O000952,Tarjeta de débito,1
O000953,Tarjeta de crédito,4
O000954,PayPal,1
O000955,PayPal,1
O000956,PayPal,1
O000957,Transferencia,1
O000958,PayPal,1
O000959,Transferencia,1
O000960,Tarjeta de crédito,5
O000961,PayPal,1
O000962,Tarjeta de crédito,1
O000963,Transferencia,1
O000964,PayPal,1
O000965,Tarjeta de débito,1
O000966,Tarjeta de crédito,7
O000967,Tarjeta de débito,1
O000968,Transferencia,1
O000969,Tarjeta de débito,1
O000970,Tarjeta de débito,1
O000971,PayPal,1
O000972,Tarjeta de débito,1
O000973,Tarjeta de crédito,1
O000974,PayPal,1
O000975,Tarjeta de débito,1
O000976,Tarjeta de crédito,9
O000977,Transferencia,1
O000978,Tarjeta de crédito,9
O000979,Tarjeta de débito,1
O000980,PayPal,1
O000981,Tarjeta de débito,1
O000982,Tarjeta de débito,1
O000983,Transferencia,1
O000984,Transferencia,1
O000985,Tarjeta de crédito,3
O000986,Tarjeta de crédito,10
O000987,PayPal,1
O000988,Tarjeta de crédito,12
O000989,Transferencia,1
O000990,Tarjeta de débito,1
O000991,PayPal,1
O000992,PayPal,1
O000993,Transferencia,1
O000994,Transferencia,1
O000995,Tarjeta de débito,1
O000996,Tarjeta de crédito,2
O000997,Tarjeta de crédito,11
O000998,Transferencia,1
O000999,PayPal,1
O001000,Tarjeta de débito,1
O001001,PayPal,1
O001002,Tarjeta de crédito,10
