order_id,customer_id,order_date,delivery_date,order_total
O000076,C00151,2026-01-19 14:17:16.555719,2026-01-23 14:17:16.555719,363.84
O000077,C00938,2025-09-11 02:22:44.618582,2025-09-14 02:22:44.618582,235.73
O000078,C00280,2025-06-26 01:12:41.224797,2025-06-28 01:12:41.224797,598.52
O000079,C00387,2026-04-30 04:40:04.288393,2026-05-07 04:40:04.288393,170.58
O000080,C00055,2025-11-27 05:22:08.479245,2025-11-29 05:22:08.479245,66.0
O000081,C00494,2025-11-17 21:41:37.100964,2025-11-25 21:41:37.100964,500.76
O000082,C00795,2025-08-01 04:35:35.128192,2025-08-06 04:35:35.128192,457.08
O000083,C00516,2024-11-15 03:32:54.940770,2024-11-22 03:32:54.940770,267.21
O000084,C00214,2025-10-27 01:34:18.048831,2025-11-03 01:34:18.048831,436.23
O000085,C00308,2025-04-17 20:52:00.240016,2025-04-19 20:52:00.240016,203.2
O000086,C00324,2026-04-17 00:16:45.675132,2026-04-24 00:16:45.675132,233.61
O000087,C00103,2026-01-23 15:47:03.858460,2026-01-29 15:47:03.858460,66.5
O000088,C00516,2026-06-03 19:17:09.036482,2026-06-06 19:17:09.036482,260.76
O000089,C00228,2026-04-18 06:22:25.122417,2026-04-22 06:22:25.122417,99.14
O000090,C00964,2024-12-13 19:49:09.973523,2024-12-19 19:49:09.973523,598.3
O000091,C00342,2025-12-05 16:14:36.231926,2025-12-07 16:14:36.231926,734.35
O000092,C00426,2024-10-30 23:59:43.629500,2024-11-03 23:59:43.629500,560.61
O000093,C00213,2024-10-28 12:43:46.204646,2024-10-31 12:43:46.204646,220.74
O000094,C00508,2024-09-06 00:01:16.452545,2024-09-11 00:01:16.452545,539.88
O000095,C00575,2025-09-08 15:48:57.407882,2025-09-13 15:48:57.407882,141.7
O000096,C00403,2025-09-10 17:51:00.794823,2025-09-11 17:51:00.794823,61.89
O000097,C00602,2026-02-02 12:25:20.547070,2026-02-07 12:25:20.547070,132.17
O000098,C00704,2026-02-13 07:54:03.635405,2026-02-16 07:54:03.635405,239.23
O000099,C00269,2025-12-27 14:18:42.412138,2026-01-01 14:18:42.412138,286.83
O000100,C00118,2025-04-14 14:43:57.552616,2025-04-19 14:43:57.552616,156.87
O000101,C00394,2025-09-17 15:26:09.084785,2025-09-21 15:26:09.084785,178.15
O000102,C00575,2025-08-15 21:49:29.321464,2025-08-20 21:49:29.321464,149.95
O000103,C00601,2025-09-21 08:44:17.151524,2025-09-27 08:44:17.151524,164.37
O000104,C00725,2025-03-27 12:40:41.175423,2025-03-30 12:40:41.175423,136.96
O000105,C00182,2025-10-13 10:18:50.075743,2025-10-18 10:18:50.075743,596.73
O000106,C00301,2024-10-27 08:11:30.917429,2024-11-02 08:11:30.917429,265.41
O000107,C00714,2024-11-10 09:28:54.417213,2024-11-13 09:28:54.417213,642.29
O000108,C00003,2024-09-06 21:30:08.164858,2024-09-09 21:30:08.164858,507.93
O000109,C00964,2025-11-19 00:37:32.381527,2025-11-25 00:37:32.381527,507.93
O000110,C00690,2025-12-20 11:47:50.713406,2025-12-25 11:47:50.713406,518.71
O000111,C00014,2025-11-20 14:54:02.357307,2025-11-24 14:54:02.357307,107.48
O000112,C00126,2026-06-07 15:46:10.863719,2026-06-11 15:46:10.863719,46.7
O000113,C00321,2024-09-21 23:23:43.825591,2024-09-26 23:23:43.825591,500.21
O000114,C00688,2026-05-22 11:44:14.049408,2026-05-23 11:44:14.049408,921.92
O000115,C00883,2024-12-21 13:06:40.812450,2024-12-26 13:06:40.812450,294.52
O000116,C00667,2025-02-06 04:00:57.925778,2025-02-10 04:00:57.925778,269.89
O000117,C00116,2024-10-03 03:37:36.447258,2024-10-09 03:37:36.447258,140.39
O000118,C00510,2025-05-01 11:39:49.281051,2025-05-03 11:39:49.281051,346.78
O000119,C00600,2026-05-20 15:34:58.365724,2026-05-21 15:34:58.365724,530.57
O000120,C00726,2025-07-02 23:26:48.057360,2025-07-07 23:26:48.057360,40.01
O000121,C00493,2025-07-24 07:28:10.004144,2025-07-26 07:28:10.004144,593.43
O000122,C00836,2025-01-21 03:31:34.878525,2025-01-26 03:31:34.878525,314.73
O000123,C00510,2025-02-06 00:07:02.301913,2025-02-10 00:07:02.301913,211.66
O000124,C00524,2025-07-09 05:22:06.948282,2025-07-13 05:22:06.948282,379.52
O000125,C00439,2025-04-05 06:31:55.177306,2025-04-09 06:31:55.177306,367.41
O000126,C00480,2025-02-21 08:45:25.563014,2025-02-25 08:45:25.563014,746.67
O000127,C00720,2024-07-15 00:13:00.969387,2024-07-23 00:13:00.969387,507.62
O000128,C00792,2025-05-14 18:57:22.642129,2025-05-22 18:57:22.642129,153.28
O000129,C00347,2024-12-23 03:28:14.134720,2024-12-28 03:28:14.134720,719.37
O000130,C00185,2024-09-13 17:50:43.378055,2024-09-19 17:50:43.378055,239.35
O000131,C00919,2025-06-15 04:16:41.307637,2025-06-21 04:16:41.307637,204.83
O000132,C00881,2026-03-17 19:01:01.981280,2026-03-18 19:01:01.981280,84.33
O000133,C00035,2024-10-06 04:47:11.149436,2024-10-10 04:47:11.149436,273.08
O000134,C00416,2025-05-10 16:28:24.732757,2025-05-16 16:28:24.732757,504.41
O000135,C00468,2025-09-07 13:57:36.714159,2025-09-11 13:57:36.714159,257.94
O000136,C00026,2026-06-08 09:27:26.659810,2026-06-11 09:27:26.659810,219.93
O000137,C00060,2025-05-19 10:41:46.979367,2025-05-23 10:41:46.979367,40.01
O000138,C00307,2025-02-20 09:44:51.803294,2025-02-22 09:44:51.803294,730.99
O000139,C00828,2024-11-06 17:01:49.245845,2024-11-12 17:01:49.245845,382.84
O000140,C00664,2024-12-14 03:38:20.301472,2024-12-17 03:38:20.301472,268.32
O000141,C00467,2025-09-18 00:04:01.239292,2025-09-22 00:04:01.239292,258.46
O000142,C00637,2025-08-31 03:12:39.653527,2025-09-05 03:12:39.653527,1101.72
O000143,C00551,2024-12-08 14:36:54.055596,2024-12-14 14:36:54.055596,67.83
O000144,C00997,2025-10-22 15:14:14.009005,2025-10-27 15:14:14.009005,267.11
O000145,C00872,2024-08-21 06:29:49.491651,2024-08-23 06:29:49.491651,193.23
O000146,C00628,2025-12-24 15:31:40.520083,2025-12-27 15:31:40.520083,106.88
O000147,C00882,2025-06-03 13:42:51.749175,2025-06-10 13:42:51.749175,288.49
O000148,C00590,2026-06-17 00:34:42.652647,2026-06-24 00:34:42.652647,350.46
O000149,C00493,2025-11-16 09:35:37.721815,2025-11-24 09:35:37.721815,674.61
O000150,C00694,2026-04-09 18:26:11.847017,2026-04-13 18:26:11.847017,174.74
O000151,C00005,2025-11-26 16:44:17.413756,2025-11-29 16:44:17.413756,396.6
O000152,C00013,2025-11-10 06:04:59.455060,2025-11-17 06:04:59.455060,393.85
O000153,C00216,2024-10-02 14:40:27.002276,2024-10-09 14:40:27.002276,318.87
O000154,C00613,2025-11-05 17:59:56.836994,2025-11-08 17:59:56.836994,51.81
O000155,C00571,2025-11-07 03:58:16.826127,2025-11-11 03:58:16.826127,546.52
O000156,C00831,2026-02-04 23:29:33.891145,2026-02-09 23:29:33.891145,208.74
O000157,C00322,2025-04-01 20:21:42.446537,2025-04-07 20:21:42.446537,131.55
O000158,C00382,2024-11-09 23:33:58.837614,2024-11-12 23:33:58.837614,534.75
O000159,C00791,2025-02-02 07:35:21.438413,2025-02-06 07:35:21.438413,130.86
O000160,C00769,2024-12-25 14:14:52.766945,2024-12-27 14:14:52.766945,572.87
O000161,C00378,2026-01-21 04:51:18.288021,2026-01-26 04:51:18.288021,486.92
O000162,C00683,2024-11-24 22:04:28.552807,2024-11-26 22:04:28.552807,384.43
O000163,C00447,2026-02-06 07:39:27.201216,2026-02-09 07:39:27.201216,262.61
O000164,C00847,2024-10-08 20:20:57.300112,2024-10-12 20:20:57.300112,333.88
O000165,C00795,2025-10-20 04:16:18.635202,2025-10-27 04:16:18.635202,375.33
O000166,C00381,2026-05-29 18:26:50.508315,2026-06-04 18:26:50.508315,160.04
O000167,C00061,2024-10-11 00:03:51.442724,2024-10-16 00:03:51.442724,101.35
O000168,C00267,2025-01-02 13:40:24.050497,2025-01-04 13:40:24.050497,233.56
O000169,C00774,2024-12-09 18:07:09.626241,2024-12-17 18:07:09.626241,551.68
O000170,C00985,2025-03-17 15:53:30.698619,2025-03-20 15:53:30.698619,200.37
O000171,C00626,2026-04-26 12:29:00.203131,2026-05-03 12:29:00.203131,543.54
O000172,C00152,2025-04-17 09:34:36.513272,2025-04-24 09:34:36.513272,389.94
O000173,C00649,2025-05-01 17:03:20.541995,2025-05-03 17:03:20.541995,133.0
O000174,C00869,2025-04-07 17:58:01.335298,2025-04-14 17:58:01.335298,324.6
O000175,C00638,2024-09-25 06:02:38.431222,2024-09-28 06:02:38.431222,521.28
O000176,C00248,2024-07-14 12:53:34.096260,2024-07-18 12:53:34.096260,449.03
O000177,C00961,2026-01-20 13:39:35.135222,2026-01-24 13:39:35.135222,370.06
O000178,C00949,2025-05-28 12:01:55.521583,2025-05-29 12:01:55.521583,438.27
O000179,C00574,2025-09-02 11:21:05.375191,2025-09-05 11:21:05.375191,63.48
O000180,C00893,2024-08-29 07:02:41.533986,2024-09-06 07:02:41.533986,500.02
O000181,C00310,2025-10-13 23:35:37.606966,2025-10-15 23:35:37.606966,398.5
O000182,C00899,2024-10-02 08:39:15.325099,2024-10-10 08:39:15.325099,84.84
O000183,C00480,2025-08-29 16:58:39.536061,2025-08-31 16:58:39.536061,380.51
O000184,C00816,2025-12-12 23:54:44.992135,2025-12-16 23:54:44.992135,216.78
O000185,C00060,2024-07-03 18:25:09.315977,2024-07-08 18:25:09.315977,281.52
O000186,C00705,2025-02-04 12:59:37.319031,2025-02-07 12:59:37.319031,465.78
O000187,C00151,2026-05-23 01:07:55.379285,2026-05-24 01:07:55.379285,45.35
O000188,C00169,2025-11-20 20:35:30.667366,2025-11-23 20:35:30.667366,128.73
O000189,C00991,2025-11-27 06:11:08.688428,2025-12-03 06:11:08.688428,294.12
O000190,C00008,2026-01-08 23:21:21.045562,2026-01-13 23:21:21.045562,319.17
O000191,C00955,2025-10-21 08:11:25.249192,2025-10-26 08:11:25.249192,261.88
O000192,C00837,2024-10-23 21:13:16.976657,2024-10-29 21:13:16.976657,329.14
O000193,C00131,2025-11-13 06:08:20.684931,2025-11-18 06:08:20.684931,86.03
O000194,C00001,2026-01-07 06:09:09.257163,2026-01-12 06:09:09.257163,227.62
O000195,C00409,2024-09-19 20:43:44.162329,2024-09-22 20:43:44.162329,366.26
O000196,C00281,2024-11-07 00:27:21.072879,2024-11-15 00:27:21.072879,520.34
O000197,C00228,2025-08-16 21:44:01.933965,2025-08-21 21:44:01.933965,324.54
O000198,C00161,2025-02-06 10:19:48.659569,2025-02-11 10:19:48.659569,414.09
O000199,C00276,2025-09-01 23:09:56.971150,2025-09-12 23:09:56.971150,330.77
O000200,C00629,2024-11-21 13:58:09.975443,2024-11-27 13:58:09.975443,630.11
O000201,C00620,2025-06-15 13:28:59.706570,2025-06-18 13:28:59.706570,266.7
O000202,C00520,2025-10-01 20:29:46.688131,2025-10-03 20:29:46.688131,339.54
O000203,C00647,2025-03-11 13:24:06.202955,2025-03-15 13:24:06.202955,411.84
O000204,C00234,2025-05-06 05:04:25.832654,2025-05-12 05:04:25.832654,500.41
O000205,C00861,2026-03-27 03:24:47.618082,2026-03-30 03:24:47.618082,107.49
O000206,C00821,2025-10-14 05:10:13.867912,2025-10-18 05:10:13.867912,786.44
O000207,C00275,2025-08-21 21:43:08.175570,2025-08-25 21:43:08.175570,281.66
O000208,C00177,2025-10-07 04:36:25.092531,2025-10-10 04:36:25.092531,486.99
O000209,C00046,2024-08-18 00:19:29.394117,2024-08-22 00:19:29.394117,307.04
O000210,C00195,2025-04-20 11:51:29.354307,2025-04-26 11:51:29.354307,269.23
O000211,C00007,2024-11-30 22:54:13.593228,2024-12-01 22:54:13.593228,238.14
O000212,C00088,2025-06-30 00:59:04.349205,2025-07-06 00:59:04.349205,165.83
O000213,C00517,2025-01-06 03:56:27.338643,2025-01-09 03:56:27.338643,116.72
O000214,C00581,2026-05-30 23:04:12.460058,2026-06-04 23:04:12.460058,389.04
O000215,C00328,2025-05-12 14:02:36.576427,2025-05-17 14:02:36.576427,70.2
O000216,C00973,2025-10-31 20:04:27.287568,2025-11-04 20:04:27.287568,532.52
O000217,C00017,2025-11-11 08:07:40.846904,2025-11-19 08:07:40.846904,143.58
O000218,C00493,2025-11-19 15:04:44.322577,2025-11-24 15:04:44.322577,298.65
O000219,C00219,2025-02-08 11:32:28.676833,2025-02-11 11:32:28.676833,89.4
O000220,C00452,2025-08-30 11:13:20.890051,2025-09-03 11:13:20.890051,322.79
O000221,C00466,2026-04-14 14:20:32.693405,2026-04-19 14:20:32.693405,566.32
O000222,C00991,2025-07-11 11:39:59.847748,2025-07-17 11:39:59.847748,162.93
O000223,C00197,2025-09-11 22:49:52.466697,2025-09-15 22:49:52.466697,757.54
O000224,C00288,2026-01-06 09:56:14.089157,2026-01-08 09:56:14.089157,468.05
O000225,C00747,2024-10-08 20:23:05.247253,2024-10-13 20:23:05.247253,208.14
O000226,C00568,2025-05-01 10:02:46.500428,2025-05-07 10:02:46.500428,126.26
O000227,C00708,2025-03-07 01:40:07.356276,2025-03-12 01:40:07.356276,433.17
O000228,C00300,2025-07-22 21:23:53.621458,2025-07-23 21:23:53.621458,192.96
O000229,C00052,2026-05-08 23:57:05.400529,2026-05-11 23:57:05.400529,191.58
O000230,C00996,2026-03-08 19:58:28.091313,2026-03-11 19:58:28.091313,83.19
O000231,C00687,2026-06-01 15:53:56.319047,2026-06-04 15:53:56.319047,56.22
O000232,C00130,2025-01-30 01:26:40.392678,2025-02-05 01:26:40.392678,307.63
O000233,C00013,2024-12-17 23:21:39.830866,2024-12-23 23:21:39.830866,236.43
O000234,C00235,2025-04-22 16:20:25.624467,2025-04-30 16:20:25.624467,49.22
O000235,C00746,2025-11-25 14:52:27.889190,2025-11-29 14:52:27.889190,194.08
O000236,C00512,2025-06-23 09:14:50.741568,2025-06-27 09:14:50.741568,770.54
O000237,C00723,2026-05-15 19:31:39.132892,2026-05-21 19:31:39.132892,272.66
O000238,C00437,2025-03-14 05:59:48.216045,2025-03-17 05:59:48.216045,200.14
O000239,C00260,2025-02-16 23:31:10.566623,2025-02-24 23:31:10.566623,362.76
O000240,C00083,2024-07-03 08:59:35.692173,2024-07-06 08:59:35.692173,1100.34
O000241,C00234,2024-10-24 13:30:35.354648,2024-10-30 13:30:35.354648,57.69
O000242,C00472,2025-05-28 23:45:39.111567,2025-06-01 23:45:39.111567,164.23
O000243,C00138,2024-08-21 05:15:08.153618,2024-08-28 05:15:08.153618,470.83
O000244,C00419,2025-06-22 08:48:29.052740,2025-06-27 08:48:29.052740,530.88
O000245,C00377,2026-05-25 23:57:05.112429,2026-05-29 23:57:05.112429,92.18
O000246,C00358,2025-04-29 05:37:45.197497,2025-05-04 05:37:45.197497,423.04
O000247,C00664,2025-08-04 11:08:57.381116,2025-08-08 11:08:57.381116,482.69
O000248,C00600,2026-03-05 16:29:53.044737,2026-03-06 16:29:53.044737,260.42
O000249,C00815,2026-03-07 15:08:24.145806,2026-03-14 15:08:24.145806,718.05
O000250,C00857,2026-05-22 16:51:36.505890,2026-05-26 16:51:36.505890,181.71
O000251,C00921,2026-04-19 17:05:33.540218,2026-04-24 17:05:33.540218,478.7
O000252,C00886,2025-06-24 09:54:42.794246,2025-06-29 09:54:42.794246,593.42
O000253,C00151,2024-11-04 15:04:23.423995,2024-11-10 15:04:23.423995,343.59
O000254,C00261,2025-11-19 18:40:19.568552,2025-11-21 18:40:19.568552,261.27
O000255,C00294,2026-06-03 23:07:58.915997,2026-06-05 23:07:58.915997,139.16
O000256,C00251,2025-07-31 03:27:04.397542,2025-08-03 03:27:04.397542,173.06
O000257,C00279,2025-01-12 13:59:35.564294,2025-01-17 13:59:35.564294,924.09
O000258,C00528,2025-03-27 09:45:06.357842,2025-03-31 09:45:06.357842,254.49
O000259,C00531,2025-09-23 19:57:41.753809,2025-10-01 19:57:41.753809,218.13
O000260,C00697,2026-06-16 07:16:28.076520,2026-06-21 07:16:28.076520,475.39
O000261,C00684,2025-07-12 00:46:38.717345,2025-07-14 00:46:38.717345,107.1
O000262,C00075,2024-06-17 16:26:49.217396,2024-06-23 16:26:49.217396,309.6
O000263,C00888,2025-05-28 12:42:05.814323,2025-06-04 12:42:05.814323,38.96
O000264,C00555,2026-06-16 20:24:34.390456,2026-06-18 20:24:34.390456,766.89
O000265,C00770,2026-02-21 17:01:30.094056,2026-02-26 17:01:30.094056,816.86
O000266,C00196,2025-07-05 06:08:05.057948,2025-07-08 06:08:05.057948,422.04
O000267,C00296,2025-08-02 09:21:32.451974,2025-08-06 09:21:32.451974,650.74
O000268,C00819,2026-06-06 17:51:46.380165,2026-06-09 17:51:46.380165,406.03
O000269,C00351,2026-06-12 10:51:32.236258,2026-06-16 10:51:32.236258,288.57
O000270,C00740,2025-11-28 10:54:35.003609,2025-11-29 10:54:35.003609,506.72
O000271,C00182,2024-11-24 07:11:33.909860,2024-11-30 07:11:33.909860,309.45
O000272,C00639,2025-07-27 11:44:56.626590,2025-07-31 11:44:56.626590,531.02
O000273,C00241,2024-11-26 16:05:08.397682,2024-12-02 16:05:08.397682,34.64
O000274,C00152,2025-10-24 03:55:36.758096,2025-10-31 03:55:36.758096,515.8
O000275,C00085,2025-05-21 23:11:25.435498,2025-05-25 23:11:25.435498,253.7
O000276,C00262,2024-09-10 21:14:36.311755,2024-09-17 21:14:36.311755,239.35
O000277,C00335,2025-09-06 06:36:51.082959,2025-09-12 06:36:51.082959,127.44
O000278,C00731,2025-08-08 09:24:33.539996,2025-08-13 09:24:33.539996,454.33
O000279,C00723,2026-02-01 18:48:24.898372,2026-02-03 18:48:24.898372,360.58
O000280,C00528,2025-08-30 18:35:36.791837,2025-09-05 18:35:36.791837,226.96
O000281,C00369,2024-06-30 11:53:11.850713,2024-07-06 11:53:11.850713,127.88
O000282,C00670,2024-11-25 05:10:58.102697,2024-11-29 05:10:58.102697,152.84
O000283,C00843,2026-06-08 04:38:58.035149,2026-06-15 04:38:58.035149,97.99
O000284,C00114,2026-04-30 03:47:48.225711,2026-05-05 03:47:48.225711,33.0
O000285,C00462,2026-05-22 09:14:09.031671,2026-05-27 09:14:09.031671,718.16
O000286,C00314,2025-12-16 10:02:14.687194,2025-12-25 10:02:14.687194,219.62
O000287,C00888,2026-03-03 15:32:03.546657,2026-03-07 15:32:03.546657,385.01
O000288,C00793,2025-12-14 18:19:13.000391,2025-12-18 18:19:13.000391,148.58
O000289,C00310,2025-05-16 01:22:50.799994,2025-05-20 01:22:50.799994,401.53
O000290,C00474,2024-11-12 09:47:41.001063,2024-11-14 09:47:41.001063,408.48
O000291,C00998,2025-12-02 06:44:19.120844,2025-12-08 06:44:19.120844,511.51
O000292,C00756,2025-03-16 16:36:56.926163,2025-03-22 16:36:56.926163,178.52
O000293,C00320,2025-03-10 04:33:38.136720,2025-03-17 04:33:38.136720,116.03
O000294,C00736,2025-06-11 15:20:42.938618,2025-06-16 15:20:42.938618,81.24
O000295,C00170,2025-02-02 20:36:32.366539,2025-02-07 20:36:32.366539,38.08
O000296,C00004,2025-12-29 11:18:05.093599,2026-01-01 11:18:05.093599,1416.56
O000297,C00851,2025-11-14 20:04:20.833046,2025-11-17 20:04:20.833046,350.98
O000298,C00965,2025-07-28 08:56:41.219676,2025-07-31 08:56:41.219676,136.71
O000299,C00451,2024-10-18 02:28:50.100335,2024-10-23 02:28:50.100335,279.2
O000300,C00567,2024-11-13 04:15:00.429119,2024-11-17 04:15:00.429119,319.38
O000301,C00033,2026-02-21 17:36:31.058918,2026-02-28 17:36:31.058918,415.24
O000302,C00475,2025-07-09 08:59:22.985753,2025-07-13 08:59:22.985753,402.75
O000303,C00340,2025-09-04 03:19:41.155013,2025-09-10 03:19:41.155013,411.9
O000304,C00859,2025-02-24 10:23:49.312454,2025-02-28 10:23:49.312454,749.59
O000305,C00545,2025-01-13 04:17:20.281786,2025-01-21 04:17:20.281786,295.77
O000306,C00139,2026-05-04 06:15:37.990408,2026-05-08 06:15:37.990408,60.89
O000307,C00010,2025-01-12 15:57:23.413571,2025-01-15 15:57:23.413571,152.25
O000308,C00325,2025-02-04 11:54:08.527290,2025-02-10 11:54:08.527290,279.2
O000309,C00562,2026-01-14 21:26:11.804387,2026-01-21 21:26:11.804387,156.63
O000310,C00386,2024-09-25 23:37:20.088320,2024-09-29 23:37:20.088320,176.07
O000311,C00524,2025-08-04 18:02:15.817912,2025-08-10 18:02:15.817912,443.3
O000312,C00558,2024-07-19 10:12:41.333874,2024-07-26 10:12:41.333874,619.78
O000313,C00625,2024-12-07 15:49:25.247070,2024-12-08 15:49:25.247070,639.41
O000314,C00481,2025-04-06 04:46:45.540934,2025-04-10 04:46:45.540934,171.96
O000315,C00019,2026-05-15 21:36:42.458823,2026-05-19 21:36:42.458823,607.9
O000316,C00207,2025-03-24 20:29:51.487886,2025-03-30 20:29:51.487886,713.51
O000317,C00233,2025-08-16 05:52:15.960594,2025-08-18 05:52:15.960594,180.79
